Port_IDs,ROI,Sharpe_Ratio,PnL,MDD,Win_Rate,Win_Positions,Total_Positions,Normalized_MDD,Profitability_Score,Risk_Adjusted_Score,Trade_Success_Score,Overall_Composite_Score,Profitability_Rank,Risk_Adjusted_Rank,Trade_Success_Rank,Overall_Rank
3942630767220672256,0.48258525763224813,0.3550142100784657,0.22477277530001952,0.9945829233844282,0.477159837648029,0.6577946768060836,0.8161752594300774,0.005417076615571789,0.476975495331003,0.35904479584752963,0.4798264256574444,0.4424515645838934,4.0,94.0,70.0,16.0
3943533600390906881,0.29951249191282103,0.33251856216384695,0.17437919194628082,0.9999214554846686,0.6828185092014512,0.33321811268579327,0.2874320540273431,7.854451533142037e-05,0.29678970648973935,0.33672455996843964,0.6776575987714328,0.42303053021785747,11.0,109.0,14.0,19.0
3944088772635000577,0.1185496901605647,0.3864185861195781,0.23626826781803,0.9999278153909721,0.5700500381915148,0.958866228828206,0.9963762147916323,7.218460902786698e-05,0.12111113805139283,0.3902849440530496,0.575789864443477,0.33826689776951513,52.0,81.0,38.0,61.0
3944239644144231424,0.0,0.20057651062711412,0.13229853629255778,0.8950241980812875,0.32963450052057647,0.07846526097476668,0.1390215779937407,0.10497580191871249,0.002878694369993771,0.20495294572811185,0.3259266616251086,0.16041535995396364,149.0,144.0,118.0,147.0
3944658614777849089,0.1097777202718422,0.4960243234690206,0.17097682356603627,1.0,0.5537472372915411,0.0069132388524023505,0.00510624279360896,0.0,0.11110935642624441,0.49920039688774703,0.5456747027230432,0.35790627245373485,118.0,35.0,47.0,45.0
3946087913459823360,0.10871464814206361,0.28724704183552296,0.14590001135428582,0.9383285947011886,0.3951762330219421,0.6671275492568268,1.0,0.061671405298811474,0.10952376741673558,0.29135018194679513,0.39919086343541477,0.2509718205813572,140.0,129.0,100.0,120.0
3949214983441029120,0.1429304660127359,0.33153924338506413,0.1620033504291464,0.996396142763774,0.46069203102483347,0.5789837538886968,0.7438642727721957,0.0036038572362260594,0.1433454744212012,0.3357291962413382,0.4624382904467264,0.2967884357748999,32.0,111.0,78.0,94.0
3949329502284748801,0.3878308689853769,0.3124121900554303,0.15143240002208058,0.9984773973853942,0.23361211573236892,0.02488765986864846,0.060945478504365005,0.0015226026146057917,0.3826870559036136,0.3167357984555667,0.2305308600129729,0.3172548199020073,7.0,123.0,133.0,76.0
3951723256343550465,0.1180122262070421,0.3792887453279119,0.20874494921894687,0.9973325010817536,0.4391663794446622,0.4199792602834428,0.5654752100148246,0.0026674989182464063,0.1199864867410437,0.3831836800155763,0.4388831331886852,0.2946146386576959,56.0,84.0,86.0,96.0
3952087967771302912,0.12008785561498356,0.47199917920770257,0.1586247212179605,1.0,0.4201396189915472,0.020048392671966817,0.02602536649645857,0.0,0.12092638233763134,0.47532665997726525,0.4142333471353049,0.3152385550688236,53.0,42.0,94.0,79.0
